month_year,admissions
2016-04-01,79246
2016-05-01,88058
2016-06-01,84269
2016-07-01,87252
2016-08-01,85104
2016-09-01,84134
2016-10-01,85177
2016-11-01,78154
2016-12-01,76731
2017-01-01,77117
2017-02-01,71095
2017-03-01,84270
2017-04-01,83708
2017-05-01,89483
2017-06-01,85221
2017-07-01,90595
2017-08-01,88233
2017-09-01,84449
2017-10-01,88584
2017-11-01,81203
2017-12-01,81057
2018-01-01,79341
2018-02-01,74449
2018-03-01,81652
2018-04-01,83246
2018-05-01,92301
2018-06-01,90537
2018-07-01,94587
2018-08-01,87201
2018-09-01,83613
2018-10-01,87085
2018-11-01,80856
2018-12-01,80379
2019-01-01,82412
2019-02-01,77437
2019-03-01,87383
2019-04-01,88076
2019-05-01,90684
2019-06-01,86346
2019-07-01,96871
2019-08-01,90482
2019-09-01,89529
2019-10-01,88634
2019-11-01,84062
2019-12-01,83628
2020-01-01,81947
2020-02-01,76254
2020-03-01,61614
2020-04-01,41502
2020-05-01,58738
2020-06-01,65268
2020-07-01,72256
2020-08-01,77747
2020-09-01,73515
2020-10-01,63580
2020-11-01,62822
2020-12-01,57886
2021-01-01,53890
2021-02-01,53609
2021-03-01,70565
2021-04-01,81030
2021-05-01,85404
2021-06-01,91749
2021-07-01,91935
2021-08-01,77147
2021-09-01,86004
2021-10-01,83889
2021-11-01,79245
2021-12-01,72833
2022-01-01,73840
2022-02-01,72499
2022-03-01,87636
2022-04-01,82066
2022-05-01,89570
2022-06-01,87293
2022-07-01,90799
2022-08-01,90165
2022-09-01,85896
2022-10-01,91002
2022-11-01,84526
2022-12-01,87841
2023-01-01,77465
2023-02-01,77341
2023-03-01,88722
2023-04-01,86736
2023-05-01,98471
2023-06-01,97641
2023-07-01,94359
2023-08-01,92322
2023-09-01,92028
